I be(mA)	I ce(mA)	U(Ib)	I(Ib)0E+0	I(Ib)100E-3	I(Ib)200E-3	I(Ib)300E-3	I(Ib)400E-3	I(Ib)500E-3	I be(mA)	U be (V)	Ube(Ib)0E+0	Ube(Ib)100E-3	Ube(Ib)200E-3	Ube(Ib)300E-3	Ube(Ib)400E-3	Ube(Ib)500E-3	
0	0	0	0	27,441	48,242	61,084	70,264	77,295	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,242	61,182	70,312	77,393	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,291	61,182	70,41	77,441	0	0	0	73,242	77,148	78,613	79,102	79,59
0	0	0	0	27,441	48,291	61,279	70,459	77,539	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,34	61,328	70,508	77,588	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,389	61,377	70,557	77,637	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,389	61,426	70,654	77,734	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,437	61,475	70,703	77,783	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,486	61,523	70,752	77,881	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,486	61,523	70,801	77,93	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,49	48,535	61,572	70,85	78,027	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,584	61,621	70,947	78,076	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,584	61,67	70,996	78,125	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,633	61,719	71,045	78,223	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,682	61,816	71,094	78,271	0	0	0	73,73	77,148	78,125	78,613	79,59
0	0	0	0	27,539	48,682	61,816	71,191	78,369	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,73	61,865	71,24	78,369	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,588	48,73	61,914	71,289	78,467	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,539	48,779	61,963	71,338	78,516	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,588	48,828	62,012	71,387	78,613	0	0	0	73,242	77,148	78,125	78,613	79,59
0	0	0	0	27,539	48,828	62,061	71,436	78,662	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,588	48,877	62,109	71,533	78,711	0	0	0	73,242	77,148	78,125	78,613	79,59
0	0	0	0	27,588	48,926	62,158	71,582	78,809	0	0	0	73,242	77,148	78,125	78,613	79,59
0	0	0	0	27,588	48,926	62,207	71,631	78,857	0	0	0	73,73	76,66	78,125	79,102	79,59
0	0	0	0	27,588	48,975	62,256	71,68	78,906	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,637	48,975	62,305	71,729	79,004	0	0	0	73,242	77,148	78,125	78,613	79,59
0	0	0	0	27,588	49,023	62,354	71,777	79,053	0	0	0	73,73	77,148	78,125	78,613	79,59
0	0	0	0	27,637	49,023	62,402	71,875	79,102	0	0	0	73,73	76,66	78,125	78,613	79,59
0	0	0	0	27,637	49,072	62,451	71,875	79,199	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,637	49,121	62,5	71,973	79,248	0	0	0	73,73	76,66	78,125	78,613	79,59
0	0	0	0	27,637	49,121	62,549	72,021	79,297	0	0	0	73,73	76,66	78,125	78,613	79,59
0	0	0	0	27,637	49,17	62,549	72,07	79,346	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,637	49,17	62,598	72,119	79,395	0	0	0	73,73	77,148	78,125	78,613	79,59
0	0	0	0	27,686	49,219	62,695	72,217	79,541	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,637	49,268	62,744	72,266	79,59	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,686	49,316	62,744	72,314	79,687	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,686	49,316	62,793	72,363	79,736	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,686	49,365	62,842	72,412	79,785	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,686	49,365	62,891	72,51	79,834	0	0	0	73,73	77,148	78,125	78,613	79,102
0	0	0	0	27,686	49,414	62,939	72,51	79,932	0	0	0	73,73	76,66	77,637	78,613	79,102
0	0	0	0	27,686	49,414	62,988	72,607	79,98	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,734	49,463	63,037	72,656	80,029	0	0	0	73,73	76,66	78,125	78,613	79,102
0	0	0	0	27,686	49,463	63,086	72,705	80,078	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,734	49,512	63,086	72,754	80,176	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,734	49,561	63,135	72,803	80,225	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,734	49,561	63,184	72,852	80,273	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,734	49,609	63,232	72,9	80,322	0	0	0	73,73	76,66	77,637	78,613	79,102
0	0	0	0	27,734	49,609	63,281	72,949	80,371	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,734	49,658	63,33	72,998	80,469	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,783	49,658	63,379	73,047	80,518	0	0	0	73,242	76,66	78,125	78,613	79,102
0	0	0	0	27,783	49,707	63,379	73,096	80,566	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,783	49,756	63,428	73,145	80,615	0	0	0	73,73	76,66	77,637	78,613	79,102
0	0	0	0	27,783	49,756	63,477	73,193	80,664	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,783	49,805	63,525	73,242	80,713	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,783	49,805	63,574	73,291	80,811	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	49,854	63,623	73,389	80,859	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,783	49,854	63,623	73,389	80,908	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	49,902	63,672	73,437	80,957	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	49,902	63,721	73,535	81,006	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	49,951	63,77	73,535	81,055	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	49,951	63,818	73,633	81,152	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	50	63,867	73,633	81,152	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,832	50	63,867	73,73	81,25	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,881	50,049	63,916	73,73	81,299	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,881	50,098	63,965	73,828	81,348	0	0	0	73,242	76,66	77,637	78,613	79,102
0	0	0	0	27,881	50,098	64,014	73,828	81,396	0	0	0	73,242	76,66	77,637	78,613	78,613
0	0	0	0	27,881	50,098	64,062	73,926	81,445	0	0	0	73,242	76,66	77,637	78,125	79,102
0	0	0	0	27,881	50,146	64,111	73,926	81,494	0	0	0	73,242	76,66	77,637	78,125	79,102
0	0	0	0	27,881	50,195	64,111	74,023	81,543	0	0	0	73,242	76,66	77,637	78,613	78,613
0	0	0	0	27,881	50,195	64,16	74,023	81,592	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,244	64,209	74,072	81,689	0	0	0	73,242	76,66	77,637	78,613	78,613
0	0	0	0	27,881	50,244	64,258	74,121	81,738	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,293	64,307	74,219	81,787	0	0	0	73,242	76,66	77,637	78,613	78,613
0	0	0	0	27,93	50,293	64,355	74,219	81,836	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,342	64,355	74,268	81,885	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,391	64,453	74,365	81,982	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,391	64,453	74,414	82,031	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,439	64,502	74,463	82,08	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,439	64,551	74,512	82,129	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,93	50,488	64,6	74,561	82,227	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,488	64,648	74,609	82,227	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,537	64,697	74,658	82,275	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,537	64,697	74,707	82,373	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,586	64,746	74,756	82,422	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	28,027	50,586	64,795	74,805	82,471	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,635	64,844	74,854	82,52	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	28,027	50,635	64,844	74,902	82,568	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	27,979	50,684	64,893	74,902	82,617	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	28,027	50,684	64,941	74,951	82,666	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	28,027	50,732	64,99	75	82,715	0	0	0	73,242	76,66	77,637	78,125	78,613
0	0	0	0	28,027	50,732	64,99	75,049	82,764	0	0	0	73,242	76,172	77,637	78,125	78,613
0	0	0	0	28,027	50,781	65,039	75,098	82,812	0	0	0	73,242	76,172	77,637	78,125	78,613
0	0	0	0	28,076	50,83	65,088	75,146	82,861	0	0	0	73,242	76,66	77,148	78,125	78,613
0	0	0	0	28,076	50,83	65,137	75,195	82,91	0	0	0	73,242	76,172	77,637	78,125	78,613
0	0	0	0	28,076	50,879	65,137	75,244	82,959	0	0	0	73,242	76,172	77,148	78,125	78,613
0	0	0	0	28,076	50,879	65,186	75,244	83,008	0	0	0	73,242	76,172	77,148	78,125	78,613
0	0	0	0	28,076	50,879	65,234	75,342	83,057	0	0	0	73,242	76,172	77,148	78,125	78,613
0	0	0	0	28,076	50,928	65,283	75,342	83,105	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,076	50,928	65,283	75,391	83,154	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,076	50,977	65,332	75,439	83,203	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,125	50,977	65,381	75,488	83,252	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,076	51,025	65,43	75,537	83,301	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,125	51,025	65,479	75,586	83,35	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,125	51,074	65,479	75,635	83,398	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,125	51,074	65,527	75,684	83,447	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,125	51,123	65,527	75,684	83,496	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,174	51,123	65,576	75,732	83,545	0	0	0	73,242	76,172	77,148	77,637	78,613
0	0	0	0	28,125	51,172	65,625	75,781	83,594	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,172	65,674	75,83	83,643	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,221	65,723	75,879	83,691	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,221	65,723	75,928	83,74	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,27	65,771	75,977	83,789	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,27	65,82	76,025	83,838	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,174	51,318	65,869	76,025	83,887	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,318	65,869	76,074	83,936	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,318	65,918	76,123	83,984	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,367	65,918	76,172	84,033	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,416	66,016	76,27	84,082	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,416	66,064	76,27	84,131	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,465	66,064	76,318	84,18	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,465	66,113	76,367	84,229	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,514	66,162	76,416	84,277	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,223	51,514	66,211	76,465	84,326	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,514	66,211	76,514	84,375	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,562	66,26	76,514	84,424	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,562	66,309	76,562	84,473	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,611	66,309	76,611	84,521	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,611	66,357	76,66	84,57	0	0	0	73,242	76,172	77,148	77,637	78,125
0	0	0	0	28,271	51,66	66,406	76,709	84,619	0	0	0	73,242	76,172	76,66	77,637	78,125
0	0	0	0	28,32	51,66	66,406	76,758	84,619	0	0	0	73,242	76,172	76,66	77,637	77,637
0	0	0	0	28,32	51,709	66,455	76,807	84,668	0	0	0	73,242	75,684	76,66	77,637	77,637
0	0	0	0	28,32	51,709	66,504	76,855	84,717	0	0	0	73,242	75,684	76,66	77,637	78,125
0	0	0	0	28,32	51,758	66,553	76,855	84,766	0	0	0	73,242	76,172	76,66	77,637	77,637
0	0	0	0	28,32	51,758	66,553	76,904	84,814	0	0	0	73,242	76,172	76,66	77,637	77,637
0	0	0	0	28,32	51,807	66,602	76,953	84,863	0	0	0	73,242	76,172	76,66	77,148	77,637
0	0	0	0	28,32	51,807	66,65	77,002	84,912	0	0	0	73,242	75,684	76,66	77,637	77,637
0	0	0	0	28,32	51,855	66,65	77,051	84,961	0	0	0	73,242	76,172	76,66	77,148	77,637
0	0	0	0	28,369	51,855	66,699	77,051	85,01	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,32	51,904	66,748	77,1	85,059	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,369	51,904	66,748	77,148	85,059	0	0	0	73,242	76,172	76,66	77,148	77,637
0	0	0	0	28,369	51,953	66,797	77,197	85,107	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,369	51,953	66,846	77,197	85,156	0	0	0	73,242	76,172	76,66	77,148	77,637
0	0	0	0	28,369	51,953	66,895	77,246	85,205	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,002	66,895	77,295	85,254	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,369	52,002	66,943	77,344	85,303	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,051	66,943	77,393	85,352	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,369	52,051	66,992	77,441	85,4	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,1	67,041	77,441	85,449	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,1	67,09	77,49	85,449	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,148	67,09	77,539	85,498	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,148	67,139	77,588	85,547	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,197	67,187	77,637	85,596	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,418	52,197	67,187	77,637	85,645	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,467	52,246	67,236	77,686	85,645	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,467	52,246	67,285	77,734	85,693	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,467	52,246	67,285	77,783	85,742	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,467	52,295	67,334	77,832	85,791	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,467	52,295	67,383	77,832	85,84	0	0	0	73,242	75,684	76,66	77,148	77,148
0	0	0	0	28,467	52,344	67,432	77,93	85,937	0	0	0	73,242	75,684	76,66	77,148	77,148
0	0	0	0	28,467	52,344	67,48	77,93	85,937	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,516	52,393	67,48	77,979	85,986	0	0	0	73,242	75,684	76,172	77,148	77,148
0	0	0	0	28,516	52,393	67,529	78,027	86,035	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,516	52,393	67,578	78,076	86,084	0	0	0	73,242	75,684	76,66	77,148	77,637
0	0	0	0	28,516	52,441	67,578	78,125	86,133	0	0	0	72,754	75,684	76,66	77,148	77,148
0	0	0	0	28,516	52,441	67,627	78,125	86,133	0	0	0	73,242	75,684	76,66	76,66	77,148
0	0	0	0	28,564	52,49	67,676	78,174	86,182	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,564	52,49	67,676	78,223	86,23	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,564	52,539	67,725	78,271	86,279	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,564	52,539	67,773	78,271	86,328	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,564	52,588	67,773	78,32	86,377	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,564	52,588	67,822	78,369	86,377	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,637	67,822	78,369	86,426	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,637	67,871	78,418	86,475	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,686	67,92	78,467	86,523	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,686	67,92	78,516	86,572	0	0	0	73,242	75,195	76,172	76,66	77,148
0	0	0	0	28,613	52,686	67,969	78,516	86,572	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,734	68,018	78,564	86,621	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,734	68,066	78,613	86,67	0	0	0	73,242	75,195	76,172	76,66	77,148
0	0	0	0	28,613	52,783	68,066	78,662	86,719	0	0	0	72,754	75,195	76,172	76,66	77,148
0	0	0	0	28,613	52,783	68,115	78,662	86,768	0	0	0	73,242	75,684	76,172	76,66	77,148
0	0	0	0	28,662	52,783	68,115	78,711	86,816	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,613	52,832	68,164	78,76	86,816	0	0	0	72,754	75,684	76,172	76,66	77,148
0	0	0	0	28,662	52,832	68,213	78,76	86,865	0	0	0	72,754	75,195	76,172	76,66	77,148
0	0	0	0	28,662	52,881	68,213	78,809	86,914	0	0	0	72,754	75,195	76,172	76,66	77,148
0	0	0	0	28,662	52,881	68,262	78,857	86,963	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,662	52,93	68,311	78,857	86,963	0	0	0	73,242	75,195	76,172	76,66	76,66
0	0	0	0	28,711	52,93	68,311	78,906	87,012	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,711	52,979	68,359	78,955	87,061	0	0	0	73,242	75,195	76,172	76,66	76,66
0	0	0	0	28,711	52,979	68,359	79,004	87,109	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,711	52,979	68,408	79,004	87,109	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,711	53,027	68,457	79,053	87,158	0	0	0	72,754	75,195	75,684	76,66	76,66
0	0	0	0	28,711	53,027	68,457	79,102	87,207	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,711	53,076	68,506	79,15	87,256	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,711	53,076	68,555	79,15	87,305	0	0	0	72,754	75,195	76,172	76,66	76,66
0	0	0	0	28,76	53,125	68,555	79,199	87,305	0	0	0	72,754	75,195	76,172	76,172	76,66
0	0	0	0	28,711	53,125	68,604	79,248	87,354	0	0	0	72,754	75,195	75,684	76,66	76,66
0	0	0	0	28,76	53,174	68,652	79,297	87,402	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,76	53,174	68,652	79,297	87,451	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,76	53,174	68,701	79,346	87,451	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,76	53,223	68,75	79,395	87,5	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,271	68,75	79,443	87,598	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,76	53,271	68,799	79,492	87,598	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,32	68,848	79,492	87,646	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,32	68,848	79,541	87,695	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,32	68,896	79,59	87,744	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,32	68,945	79,59	87,744	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,369	68,945	79,639	87,793	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,809	53,369	68,994	79,687	87,793	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,857	53,418	68,994	79,736	87,842	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,857	53,418	69,043	79,736	87,891	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,857	53,467	69,043	79,785	87,939	0	0	0	72,754	75,195	75,684	76,172	76,172
0	0	0	0	28,857	53,467	69,092	79,834	87,988	0	0	0	72,754	75,195	75,684	76,172	76,172
0	0	0	0	28,906	53,516	69,141	79,834	87,988	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,857	53,516	69,141	79,883	88,037	0	0	0	72,754	75,195	75,684	76,172	76,66
0	0	0	0	28,906	53,564	69,189	79,932	88,086	0	0	0	72,754	74,707	75,684	76,172	76,66
0	0	0	0	28,906	53,516	69,238	79,98	88,086	0	0	0	72,754	75,195	75,684	75,684	76,172
0	0	0	0	28,906	53,564	69,238	79,98	88,135	0	0	0	72,754	75,195	75,684	76,172	76,172
0	0	0	0	28,906	53,564	69,287	80,029	88,184	0	0	0	72,754	75,195	75,684	76,172	76,172
0	0	0	0	28,906	53,613	69,287	80,029	88,184	0	0	0	72,754	74,707	75,684	76,172	76,172
0	0	0	0	28,906	53,613	69,336	80,078	88,232	0	0	0	72,754	75,195	75,684	76,172	76,172
0	0	0	0	28,906	53,662	69,385	80,127	88,281	0	0	0	72,754	75,195	75,684	75,684	76,172
0	0	0	0	28,955	53,662	69,385	80,176	88,281	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,711	69,434	80,176	88,33	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,711	69,434	80,225	88,379	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,711	69,482	80,273	88,428	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,76	69,531	80,273	88,428	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,76	69,531	80,322	88,477	0	0	0	72,754	74,707	75,684	75,684	76,172
0	0	0	0	28,955	53,809	69,58	80,371	88,525	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,809	69,629	80,371	88,574	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,857	69,629	80,42	88,574	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,857	69,678	80,469	88,623	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,857	69,678	80,469	88,672	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,906	69,727	80,518	88,672	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,906	69,727	80,566	88,721	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,004	53,955	69,775	80,566	88,77	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,053	53,955	69,824	80,615	88,77	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,004	69,824	80,615	88,818	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,004	69,873	80,664	88,867	0	0	0	72,754	74,707	75,195	75,684	76,172
0	0	0	0	29,053	54,004	69,922	80,713	88,867	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,053	69,922	80,762	88,916	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,053	69,971	80,762	88,965	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,102	69,971	80,811	88,965	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,053	54,102	70,02	80,859	89,062	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,102	54,15	70,068	80,908	89,062	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,102	54,15	70,117	80,908	89,111	0	0	0	72,754	74,707	75,195	75,195	75,684
0	0	0	0	29,102	54,15	70,117	80,957	89,16	0	0	0	72,754	74,707	75,195	75,195	75,684
0	0	0	0	29,102	54,199	70,166	80,957	89,209	0	0	0	72,754	74,707	75,195	75,195	75,684
0	0	0	0	29,15	54,199	70,166	81,006	89,209	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,15	54,248	70,215	81,055	89,258	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,15	54,248	70,215	81,104	89,307	0	0	0	72,754	74,707	75,195	75,684	75,684
0	0	0	0	29,15	54,297	70,264	81,104	89,307	0	0	0	72,754	74,707	75,195	75,195	75,684
0	0	0	0	29,15	54,297	70,264	81,152	89,355	0	0	0	72,754	74,707	75,195	75,195	75,684
0	0	0	0	29,15	54,297	70,312	81,152	89,355	0	0	0	72,754	74,707	74,707	75,195	75,684
0	0	0	0	29,15	54,346	70,312	81,201	89,404	0	0	0	72,754	74,219	75,195	75,195	75,684
0	0	0	0	29,15	54,346	70,361	81,25	89,453	0	0	0	72,754	74,707	74,707	75,195	75,684
0	0	0	0	29,199	54,395	70,41	81,25	89,502	0	0	0	72,754	74,219	74,707	75,195	75,684
