I be(mA)	I ce(mA)	U(Ib)	I(Ib)0E+0	I(Ib)100E-3	I(Ib)200E-3	I(Ib)300E-3	I(Ib)400E-3	I(Ib)500E-3	I be(mA)	U be (V)	Ube(Ib)0E+0	Ube(Ib)100E-3	Ube(Ib)200E-3	Ube(Ib)300E-3	Ube(Ib)400E-3	Ube(Ib)500E-3	
0,48	86,963	0	0	22,559	33,496	41,064	47,119	52,246	0,48	0,757	0	72,266	76,66	78,125	79,102	79,59
0,49	87,793	0	0	22,705	33,643	41,26	47,314	52,441	0,49	0,762	0	72,266	77,148	78,125	78,613	79,59
0,5	88,623	0	0	22,803	33,838	41,455	47,51	52,637	0,5	0,762	0	72,266	77,148	78,125	79,102	79,59
0	0	0	0	22,9	34,033	41,65	47,705	52,832	0	0	0	72,266	77,148	78,125	79,102	79,59
0	0	0	0	22,998	34,18	41,797	47,9	53,076	0	0	0	72,266	77,148	78,125	79,102	79,59
0	0	0	0	23,145	34,375	41,992	48,096	53,271	0	0	0	72,266	76,66	78,125	79,102	79,59
0	0	0	0	23,242	34,521	42,187	48,291	53,467	0	0	0	72,266	76,66	78,125	79,102	79,59
0	0	0	0	23,34	34,668	42,383	48,486	53,662	0	0	0	72,266	77,148	78,125	79,102	79,59
0	0	0	0	23,437	34,863	42,578	48,682	53,857	0	0	0	72,754	77,148	78,125	79,102	79,59
0	0	0	0	23,535	35,01	42,773	48,877	54,053	0	0	0	72,754	77,148	78,125	79,102	79,59
0	0	0	0	23,633	35,205	42,92	49,072	54,248	0	0	0	72,754	77,148	78,125	79,102	79,59
0	0	0	0	23,73	35,352	43,115	49,268	54,443	0	0	0	72,266	77,148	78,125	79,102	79,59
0	0	0	0	23,828	35,498	43,311	49,463	54,639	0	0	0	72,754	77,148	78,125	79,102	79,59
0	0	0	0	23,926	35,693	43,506	49,658	54,834	0	0	0	72,754	77,148	78,125	79,102	79,59
0	0	0	0	24,023	35,84	43,701	49,854	55,029	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,17	36,133	44,043	50,244	55,42	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,268	36,279	44,189	50,391	55,615	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,316	36,475	44,385	50,586	55,811	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,414	36,621	44,531	50,781	55,957	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,463	36,768	44,727	50,977	56,152	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,512	36,914	44,922	51,123	56,348	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,609	37,061	45,068	51,318	56,543	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,658	37,207	45,264	51,514	56,738	0	0	0	72,754	77,148	78,613	79,102	79,59
0	0	0	0	24,756	37,354	45,41	51,709	56,885	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,805	37,451	45,605	51,855	57,08	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,854	37,598	45,752	52,051	57,275	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	24,951	37,744	45,947	52,197	57,471	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25	37,891	46,094	52,393	57,617	0	0	0	72,754	77,148	78,613	79,59	80,078
0	0	0	0	25,049	37,988	46,24	52,588	57,812	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25,098	38,135	46,436	52,783	58,008	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25,146	38,281	46,582	52,93	58,203	0	0	0	72,754	77,148	78,613	79,59	80,078
0	0	0	0	25,195	38,379	46,729	53,125	58,35	0	0	0	72,754	77,148	78,613	79,59	80,078
0	0	0	0	25,244	38,525	46,875	53,271	58,545	0	0	0	73,242	77,148	78,613	79,102	80,078
0	0	0	0	25,293	38,672	47,07	53,467	58,74	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25,342	38,77	47,217	53,613	58,887	0	0	0	72,754	77,148	78,613	79,59	80,078
0	0	0	0	25,391	38,916	47,363	53,76	59,082	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25,439	39,014	47,51	53,955	59,277	0	0	0	72,754	77,148	78,613	79,102	80,078
0	0	0	0	25,488	39,16	47,656	54,15	59,424	0	0	0	72,754	77,148	78,613	79,59	80,078
0	0	0	0	25,537	39,258	47,803	54,297	59,619	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,537	39,404	47,949	54,443	59,766	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,635	39,502	48,145	54,59	59,961	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,635	39,6	48,291	54,785	60,107	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,684	39,697	48,437	54,932	60,303	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,732	39,795	48,584	55,127	60,449	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,781	39,941	48,73	55,273	60,596	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,781	40,039	48,877	55,42	60,791	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,83	40,137	49,023	55,615	60,937	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,879	40,234	49,17	55,762	61,133	0	0	0	73,242	77,148	78,613	79,59	80,078
